cus_id,cus_type,cus_point,product,brand
170,Type 1,431,Product A,Brand 1
207,Type 1,2517,Product A,Brand 2
282,Type 1,97,Product A,Brand 1
385,Type 1,509,Product A,Brand 3
433,Type 1,5320,Product A,Brand 4
1083,Type 1,2532,Product A,Brand 5
1968,Type 1,1973,Product A,Brand 6
2089,Type 1,1610,Product A,Brand 3
2304,Type 1,40893,Product A,Brand 4
2482,Type 1,157,Product A,Brand 7
2660,Type 1,6008,Product A,Brand 3
2678,Type 1,621,Product A,Brand 3
3180,Type 1,1905,Product A,Brand 3
3648,Type 1,2716,Product A,Brand 8
3899,Type 1,7863,Product A,Brand 3
4084,Type 1,2279,Product A,Brand 7
4159,Type 1,1147,Product A,Brand 3
5063,Type 1,4876,Product A,Brand 8
17187,Type 1,601,Product A,Brand 8
5138,Type 1,16339,Product A,Brand 3
17878,Type 1,5098,Product A,Brand 3
5389,Type 1,6362,Product A,Brand 3
18063,Type 1,2858,Product A,Brand 5
6257,Type 1,7621,Product A,Brand 8
18755,Type 1,12571,Product A,Brand 3
7000,Type 1,3218,Product A,Brand 9
7384,Type 1,933,Product A,Brand 3
18764,Type 1,1536,Product A,Brand 3
18782,Type 1,7695,Product A,Brand 3
8390,Type 1,1724,Product A,Brand 5
19864,Type 1,3242,Product A,Brand 8
9285,Type 1,4813,Product A,Brand 3
19981,Type 1,1031,Product A,Brand 3
9481,Type 1,1667,Product A,Brand 3
9735,Type 1,23088,Product A,Brand 3
20561,Type 1,2942,Product A,Brand 3
9883,Type 1,1519,Product A,Brand 7
20785,Type 1,1395,Product A,Brand 3
10178,Type 1,4250,Product A,Brand 8
22471,Type 1,2238,Product A,Brand 4
11765,Type 1,1110,Product A,Brand 3
22480,Type 1,1015,Product A,Brand 7
12107,Type 1,425,Product A,Brand 9
22658,Type 1,1910,Product A,Brand 5
12239,Type 1,1086723,Product A,Brand 10
22864,Type 1,1868,Product A,Brand 4
12575,Type 1,1669,Product A,Brand 3
23432,Type 1,46994,Product A,Brand 3
12584,Type 1,170,Product A,Brand 1
12865,Type 1,1955,Product A,Brand 3
23934,Type 1,15547,Product A,Brand 3
12874,Type 1,15353,Product A,Brand 8
24587,Type 1,639,Product A,Brand 1
13031,Type 1,21768,Product A,Brand 9
13179,Type 1,486,Product A,Brand 3
24596,Type 1,19150,Product A,Brand 3
13385,Type 1,230,Product A,Brand 1
24877,Type 1,3948,Product A,Brand 8
14083,Type 1,2222,Product A,Brand 5
25285,Type 1,4385,Product A,Brand 7
14681,Type 1,460,Product A,Brand 7
34465,Type 1,67481,Product A,Brand 4
26998,Type 1,5818,Product A,Brand 3
14793,Type 1,4145,Product A,Brand 10
14905,Type 1,516,Product A,Brand 7
27476,Type 1,8151,Product A,Brand 8
34670,Type 1,4247,Product A,Brand 8
16479,Type 1,3173,Product A,Brand 3
27542,Type 1,3964,Product A,Brand 3
34985,Type 1,1594,Product A,Brand 4
16676,Type 1,810,Product A,Brand 5
27941,Type 1,44094,Product A,Brand 3
35229,Type 1,2420379,Product A,Brand 4
17075,Type 1,98739,Product A,Brand 4
28080,Type 1,1447,Product A,Brand 1
28183,Type 1,4349,Product A,Brand 3
35498,Type 1,262662,Product A,Brand 3
51387,Type 1,2726,Product A,Brand 7
35574,Type 1,605,Product A,Brand 6
28334,Type 1,28054,Product A,Brand 3
35807,Type 1,2505,Product A,Brand 4
52979,Type 1,809,Product A,Brand 7
28603,Type 1,1412,Product A,Brand 3
36384,Type 1,1294,Product A,Brand 5
29806,Type 1,18830,Product A,Brand 4
53986,Type 1,4067,Product A,Brand 3
54369,Type 1,1766,Product A,Brand 3
30430,Type 1,9225,Product A,Brand 8
37363,Type 1,13896,Product A,Brand 8
54901,Type 1,70279,Product A,Brand 3
30578,Type 1,1193,Product A,Brand 3
37568,Type 1,39220,Product A,Brand 3
31062,Type 1,1393,Product A,Brand 3
55264,Type 1,3853,Product A,Brand 11
37877,Type 1,2300,Product A,Brand 5
31585,Type 1,1458,Product A,Brand 5
55563,Type 1,1031,Product A,Brand 3
55581,Type 1,1364,Product A,Brand 7
31754,Type 1,2973,Product A,Brand 3
39684,Type 1,7259,Product A,Brand 3
55898,Type 1,4554,Product A,Brand 2
31763,Type 1,1507,Product A,Brand 8
56186,Type 1,2067,Product A,Brand 3
40427,Type 1,36567,Product A,Brand 9
32162,Type 1,1718,Product A,Brand 3
56279,Type 1,23085,Product A,Brand 4
32899,Type 1,2573,Product A,Brand 8
41173,Type 1,546,Product A,Brand 3
56476,Type 1,4852,Product A,Brand 3
41481,Type 1,1008,Product A,Brand 7
33075,Type 1,2666,Product A,Brand 3
56968,Type 1,1505,Product A,Brand 3
33187,Type 1,7967,Product A,Brand 4
41865,Type 1,586,Product A,Brand 3
57379,Type 1,4912,Product A,Brand 3
33196,Type 1,1610,Product A,Brand 12
41965,Type 1,629,Product A,Brand 3
33767,Type 1,330,Product A,Brand 3
58171,Type 1,49840,Product A,Brand 4
33785,Type 1,8061,Product A,Brand 3
42282,Type 1,1544,Product A,Brand 8
58283,Type 1,288,Product A,Brand 13
42300,Type 1,3814,Product A,Brand 3
34353,Type 1,10762,Product A,Brand 3
58685,Type 1,2824,Product A,Brand 5
42348,Type 1,78121,Product A,Brand 8
67182,Type 1,203,Product A,Brand 3
58899,Type 1,65429,Product A,Brand 8
42376,Type 1,16252,Product A,Brand 8
67584,Type 1,7844,Product A,Brand 3
42980,Type 1,953,Product A,Brand 3
59244,Type 1,11855,Product A,Brand 3
67798,Type 1,2972,Product A,Brand 3
59280,Type 1,4163,Product A,Brand 3
43887,Type 1,2083,Product A,Brand 5
68376,Type 1,1438,Product A,Brand 3
60071,Type 1,707373,Product A,Brand 10
68599,Type 1,844,Product A,Brand 3
43968,Type 1,3273,Product A,Brand 5
68684,Type 1,5514,Product A,Brand 3
60258,Type 1,7864,Product A,Brand 8
44669,Type 1,4806,Product A,Brand 5
68768,Type 1,2703,Product A,Brand 3
60473,Type 1,2447,Product A,Brand 3
69261,Type 1,13492,Product A,Brand 4
45703,Type 1,1760,Product A,Brand 3
61283,Type 1,8719,Product A,Brand 3
69606,Type 1,6004,Product A,Brand 8
46869,Type 1,1302,Product A,Brand 5
61404,Type 1,2666,Product A,Brand 9
69986,Type 1,983,Product A,Brand 3
61685,Type 1,3608,Product A,Brand 3
47380,Type 1,590,Product A,Brand 5
70342,Type 1,5343,Product A,Brand 4
47428,Type 1,4172,Product A,Brand 3
61972,Type 1,213,Product A,Brand 5
70566,Type 1,2973,Product A,Brand 3
62075,Type 1,817,Product A,Brand 3
47985,Type 1,1062,Product A,Brand 1
71246,Type 1,11606,Product A,Brand 3
62700,Type 1,6646,Product A,Brand 3
48078,Type 1,306,Product A,Brand 1
71385,Type 1,3586,Product A,Brand 3
48368,Type 1,1224,Product A,Brand 8
62997,Type 1,507039,Product A,Brand 4
71787,Type 1,520,Product A,Brand 1
48982,Type 1,2119,Product A,Brand 3
72186,Type 1,6014,Product A,Brand 1
63129,Type 1,1468,Product A,Brand 3
49786,Type 1,1327,Product A,Brand 3
63501,Type 1,4927,Product A,Brand 3
72382,Type 1,1158,Product A,Brand 3
50072,Type 1,877,Product A,Brand 3
72606,Type 1,3795,Product A,Brand 3
63670,Type 1,3154,Product A,Brand 3
73080,Type 1,1226,Product A,Brand 7
64078,Type 1,1974,Product A,Brand 3
83974,Type 1,546,Product A,Brand 7
73482,Type 1,1665,Product A,Brand 5
84469,Type 1,8310,Product A,Brand 4
64480,Type 1,1925,Product A,Brand 4
73884,Type 1,560,Product A,Brand 7
64658,Type 1,1856,Product A,Brand 3
84732,Type 1,707,Product A,Brand 3
74068,Type 1,17842,Product A,Brand 8
84980,Type 1,1923,Product A,Brand 12
65133,Type 1,8202,Product A,Brand 9
74331,Type 1,8958,Product A,Brand 8
85400,Type 1,75173,Product A,Brand 3
65674,Type 1,7912,Product A,Brand 5
75187,Type 1,6414,Product A,Brand 8
85859,Type 1,2720,Product A,Brand 4
65786,Type 1,16867,Product A,Brand 4
75374,Type 1,4221,Product A,Brand 5
86482,Type 1,715,Product A,Brand 3
75486,Type 1,4172,Product A,Brand 5
66082,Type 1,1179,Product A,Brand 13
86603,Type 1,9539,Product A,Brand 8
66203,Type 1,2458,Product A,Brand 8
75561,Type 1,1231477,Product A,Brand 4
86975,Type 1,1407,Product A,Brand 5
66605,Type 1,1981,Product A,Brand 3
75579,Type 1,495,Product A,Brand 14
87087,Type 1,1416,Product A,Brand 3
76371,Type 1,1065,Product A,Brand 8
87404,Type 1,1556,Product A,Brand 3
67070,Type 1,1891,Product A,Brand 3
77181,Type 1,2574,Product A,Brand 7
87507,Type 1,4127,Product A,Brand 9
67079,Type 1,8034,Product A,Brand 3
77779,Type 1,19529,Product A,Brand 8
67137,Type 1,8749,Product A,Brand 4
88159,Type 1,6347,Product A,Brand 4
78085,Type 1,719,Product A,Brand 7
88168,Type 1,665,Product A,Brand 13
101880,Type 1,1216,Product A,Brand 8
88187,Type 1,700,Product A,Brand 15
78487,Type 1,762,Product A,Brand 3
88280,Type 1,1586,Product A,Brand 12
102261,Type 1,498,Product A,Brand 3
79055,Type 1,651,Product A,Brand 3
88383,Type 1,4422,Product A,Brand 3
102270,Type 1,2807,Product A,Brand 3
79073,Type 1,1668,Product A,Brand 6
88960,Type 1,1560,Product A,Brand 11
102467,Type 1,497,Product A,Brand 3
79185,Type 1,249,Product A,Brand 1
102485,Type 1,1052,Product A,Brand 3
89063,Type 1,709,Product A,Brand 4
80078,Type 1,3625,Product A,Brand 3
103183,Type 1,31317,Product A,Brand 4
80302,Type 1,1621,Product A,Brand 3
89782,Type 1,1431,Product A,Brand 3
80480,Type 1,263,Product A,Brand 3
103491,Type 1,754,Product A,Brand 3
89885,Type 1,969,Product A,Brand 4
90105,Type 1,3055,Product A,Brand 3
82278,Type 1,501,Product A,Brand 7
104470,Type 1,577,Product A,Brand 12
82587,Type 1,947,Product A,Brand 7
90256,Type 1,6806,Product A,Brand 3
104954,Type 1,3757,Product A,Brand 15
83079,Type 1,2260,Product A,Brand 3
90265,Type 1,5403,Product A,Brand 3
105150,Type 1,2474,Product A,Brand 3
83164,Type 1,836,Product A,Brand 8
90507,Type 1,4244,Product A,Brand 3
105458,Type 1,1419,Product A,Brand 3
91543,Type 1,1067,Product A,Brand 3
83566,Type 1,81138,Product A,Brand 3
106287,Type 1,16582,Product A,Brand 8
83780,Type 1,371,Product A,Brand 3
92072,Type 1,461,Product A,Brand 7
83883,Type 1,604,Product A,Brand 3
106380,Type 1,4237,Product A,Brand 3
92604,Type 1,5145,Product A,Brand 9
117386,Type 1,7066,Product A,Brand 4
106604,Type 1,1042,Product A,Brand 9
93172,Type 1,2298,Product A,Brand 3
117600,Type 1,3141,Product A,Brand 3
107172,Type 1,223880,Product A,Brand 3
107387,Type 1,188,Product A,Brand 1
93471,Type 1,4011,Product A,Brand 3
118084,Type 1,4246,Product A,Brand 3
107498,Type 1,3342,Product A,Brand 3
94450,Type 1,6439,Product A,Brand 4
118588,Type 1,1637,Product A,Brand 2
107686,Type 1,634,Product A,Brand 1
119081,Type 1,3265,Product A,Brand 3
108000,Type 1,1208,Product A,Brand 2
94683,Type 1,1907,Product A,Brand 3
108197,Type 1,471,Product A,Brand 5
119456,Type 1,8936,Product A,Brand 3
94979,Type 1,915,Product A,Brand 5
108580,Type 1,263,Product A,Brand 3
95605,Type 1,758,Product A,Brand 3
119707,Type 1,9316,Product A,Brand 3
108674,Type 1,697,Product A,Brand 1
96481,Type 1,761,Product A,Brand 5
119800,Type 1,3875,Product A,Brand 3
108879,Type 1,3919,Product A,Brand 3
120404,Type 1,541,Product A,Brand 2
97207,Type 1,643,Product A,Brand 9
109064,Type 1,3168,Product A,Brand 3
120470,Type 1,2916,Product A,Brand 3
97385,Type 1,1212,Product A,Brand 1
109082,Type 1,704,Product A,Brand 3
120537,Type 1,10460,Product A,Brand 9
97732,Type 1,8895,Product A,Brand 15
109381,Type 1,1809,Product A,Brand 3
120881,Type 1,2270,Product A,Brand 8
97871,Type 1,3095,Product A,Brand 3
109502,Type 1,3943,Product A,Brand 9
121570,Type 1,27613,Product A,Brand 4
99183,Type 1,593,Product A,Brand 3
109587,Type 1,2474,Product A,Brand 11
121579,Type 1,2790,Product A,Brand 11
99304,Type 1,23789,Product A,Brand 3
110341,Type 1,5253,Product A,Brand 3
121607,Type 1,5175,Product A,Brand 9
121842,Type 1,3294,Product A,Brand 3
99464,Type 1,8231,Product A,Brand 4
110873,Type 1,2235,Product A,Brand 5
122081,Type 1,825,Product A,Brand 11
100164,Type 1,2694,Product A,Brand 4
110900,Type 1,737,Product A,Brand 3
122474,Type 1,491,Product A,Brand 5
111870,Type 1,4199,Product A,Brand 5
100490,Type 1,63507,Product A,Brand 3
122782,Type 1,98423,Product A,Brand 8
100705,Type 1,4883,Product A,Brand 3
123003,Type 1,633,Product A,Brand 3
112091,Type 1,22669,Product A,Brand 4
123302,Type 1,692,Product A,Brand 3
112260,Type 1,1168,Product A,Brand 3
100771,Type 1,4640,Product A,Brand 3
124272,Type 1,4125,Product A,Brand 6
100947,Type 1,0,Product A,Brand 4
112438,Type 1,652,Product A,Brand 9
101367,Type 1,1757,Product A,Brand 4
112484,Type 1,447,Product A,Brand 1
125399,Type 1,313316,Product A,Brand 3
101599,Type 1,8214,Product A,Brand 3
112765,Type 1,3046577,Product A,Brand 10
125783,Type 1,8983,Product A,Brand 11
136387,Type 1,482,Product A,Brand 3
112931,Type 1,2776,Product A,Brand 4
125801,Type 1,1035,Product A,Brand 2
112958,Type 1,1263,Product A,Brand 3
126668,Type 1,5407,Product A,Brand 5
137133,Type 1,14987,Product A,Brand 3
113529,Type 1,9157,Product A,Brand 3
127152,Type 1,2571,Product A,Brand 3
137384,Type 1,1379,Product A,Brand 5
113668,Type 1,7117,Product A,Brand 3
137487,Type 1,1362,Product A,Brand 3
128832,Type 1,113783,Product A,Brand 16
114077,Type 1,2169,Product A,Brand 6
137571,Type 1,1414,Product A,Brand 3
137580,Type 1,2464,Product A,Brand 4
114179,Type 1,1327,Product A,Brand 3
129277,Type 1,1959,Product A,Brand 7
114188,Type 1,37535,Product A,Brand 3
138484,Type 1,920,Product A,Brand 3
129407,Type 1,4343,Product A,Brand 3
129660,Type 1,49399,Product A,Brand 3
139481,Type 1,11531,Product A,Brand 8
114768,Type 1,2675,Product A,Brand 4
139584,Type 1,40582,Product A,Brand 3
129781,Type 1,1790,Product A,Brand 3
115074,Type 1,1200,Product A,Brand 13
129838,Type 1,3960,Product A,Brand 8
139668,Type 1,22952,Product A,Brand 3
115503,Type 1,3246,Product A,Brand 9
130273,Type 1,3887,Product A,Brand 6
130469,Type 1,42413,Product A,Brand 3
139946,Type 1,15810,Product A,Brand 3
116966,Type 1,1495,Product A,Brand 3
140085,Type 1,2607,Product A,Brand 5
130962,Type 1,3066,Product A,Brand 8
117002,Type 1,2972,Product A,Brand 9
140290,Type 1,13336,Product A,Brand 3
131101,Type 1,9645,Product A,Brand 8
150655,Type 1,7064,Product A,Brand 3
131364,Type 1,3567,Product A,Brand 15
141278,Type 1,780,Product A,Brand 5
131578,Type 1,125687,Product A,Brand 8
141484,Type 1,20698,Product A,Brand 3
151474,Type 1,780,Product A,Brand 5
131868,Type 1,812,Product A,Brand 4
141977,Type 1,1207,Product A,Brand 3
152181,Type 1,2060,Product A,Brand 8
142107,Type 1,1670,Product A,Brand 3
132035,Type 1,10507,Product A,Brand 3
152359,Type 1,1732,Product A,Brand 3
142584,Type 1,966,Product A,Brand 7
152982,Type 1,4504,Product A,Brand 3
132482,Type 1,13150,Product A,Brand 3
142883,Type 1,6616,Product A,Brand 3
132706,Type 1,644,Product A,Brand 3
154698,Type 1,8876,Product A,Brand 9
143300,Type 1,1160,Product A,Brand 3
132866,Type 1,1102,Product A,Brand 8
155687,Type 1,874,Product A,Brand 3
133507,Type 1,4142,Product A,Brand 4
143590,Type 1,269035,Product A,Brand 4
156385,Type 1,623,Product A,Brand 1
143787,Type 1,2473,Product A,Brand 1
133778,Type 1,17033,Product A,Brand 4
156563,Type 1,642,Product A,Brand 5
143880,Type 1,1772,Product A,Brand 5
133899,Type 1,5088,Product A,Brand 4
143962,Type 1,2739,Product A,Brand 8
156880,Type 1,629,Product A,Brand 3
144083,Type 1,3512,Product A,Brand 3
